Total Mass, Surface Temperature, Total Cost, Operation Time, Computation Ability, Durability, Market Advantage
0.0017, 2098.6477, 0.2687, -0.0000, -622.0943, -0.0030, -10.0000
0.0023, 25.0033, 0.3724, -58.7390, -0.0010, -0.0030, -10.0000
0.0017, 25.0033, 0.3046, -1.0172, -0.0010, -0.0030, -50.0000
0.0048, 25.0000, 3.1965, -1.0004, -0.0010, -0.0100, -100.0000
0.5758, 434807.6087, 199.9459, -0.0050, -1000.0000, -0.5000, -33.0000
0.0531, 25.0052, 2.8301, -5000.0000, -0.0010, -0.0060, -10.0000
2.9044, 25.0017, 3125.5396, -1.0000, -0.0010, -1.9999, -100.0000
2.9549, 1749.1379, 3128.1430, -0.0050, -1000.0000, -2.0000, -100.0000
2.9549, 1737.2645, 8529.4145, -0.0050, -993.1134, -2.0000, -100.0000
0.5568, 431060.9185, 161.6997, -0.0050, -1000.0000, -0.4957, -33.0000
0.0017, 189.1704, 0.2687, -0.0000, -49.2511, -0.0030, -10.0000
2.9020, 1748.7320, 8523.8924, -0.0000, -1000.0000, -1.9995, -100.0000
0.0017, 25.0033, 0.3494, -1.1916, -0.0010, -0.0030, -100.0000
2.9549, 1749.1379, 7927.5073, -0.0050, -1000.0000, -2.0000, -50.0000
2.9549, 1749.1379, 7726.8715, -0.0050, -1000.0000, -2.0000, -33.0000
0.4172, 271840.5188, 5114.8055, -0.0072, -678.9690, -0.4604, -10.0000
0.3429, 194706.8880, 8121.2666, -0.0081, -584.3482, -0.2998, -100.0000
0.0050, 95640.3199, 0.9557, -0.0000, -633.9408, -0.1357, -10.0000
0.8216, 25.0018, 663.5457, -3405.6192, -0.0014, -1.4975, -10.0000
1.1278, 25.0019, 6333.1109, -2193.1335, -0.0014, -1.6091, -100.0000
2.8518, 1598.1363, 7533.4155, -0.0054, -920.2070, -1.9831, -25.0000
2.2057, 25.0031, 7174.7447, -2499.0448, -0.0019, -1.8667, -50.0000
0.0280, 120765.7719, 8.2649, -0.0008, -511.7123, -0.2713, -100.0000
2.5134, 25.0032, 3340.8956, -2325.6060, -0.0019, -1.9254, -100.0000
0.1348, 25.0003, 125.1706, -428.3474, -0.0010, -0.6527, -100.0000
0.2959, 333223.7410, 8120.8908, -0.0000, -1000.0000, -0.2999, -100.0000
0.0406, 25.0033, 2.2619, -3886.5897, -0.0010, -0.0030, -50.0000
2.9091, 1505.3020, 2484.2743, -0.0005, -858.5752, -2.0000, -20.0000
2.3432, 25.0016, 1993.4353, -1262.4288, -0.0010, -1.8999, -20.0000
2.8326, 1416.9075, 8381.2184, -0.0061, -815.4948, -1.9799, -100.0000
0.5718, 298421.9493, 5162.7804, -0.0069, -686.6685, -0.4997, -10.0000
2.5690, 626.8507, 7191.6021, -0.0136, -360.8801, -1.9346, -16.0000
2.0109, 25.0018, 6682.6235, -989.2714, -0.0011, -1.8346, -10.0000
0.0027, 25.0043, 5000.7068, -1.0000, -0.0010, -0.0050, -10.0000
2.9549, 66.3470, 3930.6860, -0.2085, -23.9813, -2.0000, -100.0000
0.4591, 368657.8877, 5127.6908, -0.0055, -898.3700, -0.4719, -10.0000
0.5398, 397495.5507, 177.0068, -0.0054, -929.5269, -0.4917, -25.0000
1.3032, 1426.2951, 1757.4659, -0.0004, -974.4278, -1.6682, -100.0000
1.5499, 25.0015, 6845.8826, -2961.0024, -0.0010, -1.7257, -100.0000
0.3383, 285965.5920, 88.3277, -0.0056, -862.5212, -0.2984, -14.0000
1.6386, 1250.1660, 6930.8386, -0.0061, -815.4948, -1.7427, -100.0000
2.9043, 25.0020, 7434.9816, -4086.5279, -0.0012, -1.9921, -12.0000
0.1997, 126356.1197, 42.9486, -0.0106, -440.5477, -0.2581, -10.0000
0.2158, 280.5110, 5143.4251, -0.0003, -731.0917, -0.7165, -50.0000
0.5037, 162297.0035, 5172.1955, -0.0107, -384.6130, -0.4852, -100.0000
2.4323, 717.3129, 7062.2786, -0.0027, -418.9945, -1.9167, -12.0000
1.2189, 25.0014, 6461.6455, -1543.6287, -0.0010, -1.6409, -100.0000
0.9490, 25.0025, 858.1485, -1858.4118, -0.0019, -1.5489, -50.0000
2.6425, 735.2338, 3509.3188, -0.0116, -423.0302, -1.9475, -100.0000
1.5691, 25.0028, 1440.1374, -1842.1992, -0.0019, -1.7294, -50.0000
1.2511, 25.0014, 6213.6304, -4768.7397, -0.0010, -1.6409, -50.0000
1.0871, 25.0023, 919.2425, -735.6079, -0.0017, -1.6021, -10.0000
0.1590, 299.5819, 5134.8979, -0.0163, -301.5791, -1.0562, -100.0000
2.8818, 25.0029, 3841.0556, -2517.1438, -0.0017, -1.9892, -100.0000
